TIMESTAMP,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,AIR_INTAKE_TEMP,SPEED,THROTTLE_POS
1502915128305.0,86.0,"33,30%",1094.0,54.0,7.0,29%
1502915136334.0,85.0,"37,60%",1917.0,54.0,15.0,31%
1502915148327.0,84.0,"58,80%",2730.0,52.0,43.0,84%
1502915158320.0,83.0,"37,30%",1923.0,50.0,47.0,31%
1502915169264.0,83.0,"16,90%",1489.0,50.0,28.0,23%
1502915188037.0,82.0,"56,50%",1708.0,48.0,47.0,34%
1502915196250.0,82.0,"22,00%",1133.0,48.0,14.0,24%
1502915206377.0,82.0,"29,40%",1081.0,48.0,2.0,25%
1502915217400.0,81.0,"34,90%",1345.0,49.0,24.0,28%
1502915229108.0,81.0,"26,30%",1991.0,48.0,41.0,29%
1502915241055.0,81.0,"23,50%",1182.0,48.0,7.0,24%
1502915252798.0,82.0,"30,60%",1009.0,48.0,3.0,24%
1502915262855.0,80.0,"66,30%",1357.0,49.0,22.0,37%
1502915270874.0,80.0,"22,00%",1164.0,48.0,12.0,24%
1502915282810.0,81.0,"32,50%",1046.0,49.0,14.0,26%
1502915293488.0,81.0,"25,50%",1135.0,49.0,6.0,24%
1502915301567.0,80.0,"29,80%",997.0,50.0,0.0,24%
1502915309592.0,80.0,"31,80%",1003.0,51.0,0.0,25%
1502915320225.0,80.0,"31,00%",1004.0,51.0,0.0,25%
1502915331648.0,80.0,"30,60%",992.0,52.0,0.0,25%
1502915342054.0,80.0,"31,00%",1012.0,53.0,0.0,25%
1502915353101.0,81.0,"31,40%",989.0,54.0,0.0,25%
1502915362710.0,81.0,"34,50%",1027.0,54.0,0.0,25%
1502915370752.0,81.0,"31,40%",1006.0,55.0,0.0,25%
1502915378785.0,81.0,"41,60%",1174.0,56.0,3.0,27%
1502915386833.0,81.0,"38,80%",1396.0,57.0,16.0,29%
1502915394871.0,81.0,"26,30%",1580.0,57.0,14.0,25%
1502915402900.0,82.0,"36,50%",1342.0,57.0,20.0,29%
1502915410938.0,82.0,"29,00%",1534.0,57.0,23.0,28%
1502915418980.0,82.0,"17,30%",1356.0,57.0,9.0,23%
1502915426985.0,82.0,"24,70%",1701.0,57.0,11.0,27%
1502915435846.0,82.0,"23,50%",1157.0,57.0,13.0,24%
1502915443897.0,81.0,"33,70%",1048.0,57.0,10.0,26%
1502915455324.0,81.0,"42,00%",1041.0,57.0,4.0,28%
1502915466877.0,81.0,"26,30%",1237.0,58.0,5.0,25%
1502915477973.0,80.0,"29,40%",1130.0,58.0,15.0,28%
1502915485994.0,80.0,"26,70%",1139.0,58.0,9.0,24%
1502915494052.0,81.0,,,59.0,0.0,21%
1502915502058.0,81.0,,,59.0,0.0,28%
1502915510068.0,,,,,,28%
1502923194940.0,54.0,"26,30%",1171.0,37.0,7.0,28%
1502923200096.0,55.0,"27,50%",1147.0,37.0,2.0,26%
1502923206950.0,56.0,"33,30%",1041.0,37.0,0.0,25%
1502923212112.0,57.0,"45,10%",1106.0,37.0,13.0,30%
1502923218973.0,57.0,"20,40%",1354.0,37.0,17.0,28%
1502923224119.0,58.0,"20,40%",1289.0,37.0,4.0,24%
1502923230997.0,59.0,"25,10%",1208.0,37.0,13.0,24%
1502923236138.0,60.0,"22,70%",1226.0,37.0,20.0,24%
1502923243021.0,62.0,"16,10%",2320.0,38.0,9.0,25%
1502923248159.0,63.0,"54,10%",1803.0,38.0,24.0,32%
1502923255033.0,64.0,"53,70%",2422.0,37.0,49.0,35%
1502923260179.0,66.0,"16,10%",2373.0,37.0,35.0,26%
1502923267048.0,67.0,"20,40%",1354.0,37.0,26.0,23%
1502923272184.0,68.0,"22,00%",1226.0,37.0,6.0,24%
1502923279065.0,68.0,"25,90%",1157.0,37.0,0.0,24%
1502923284193.0,69.0,"29,80%",1017.0,37.0,0.0,24%
1502923291077.0,69.0,"29,80%",1008.0,37.0,0.0,24%
1502923296213.0,69.0,"29,80%",998.0,38.0,0.0,24%
1502923303088.0,70.0,"29,40%",1013.0,38.0,0.0,24%
1502923308232.0,70.0,"43,50%",1106.0,38.0,8.0,29%
1502923315109.0,71.0,"31,80%",1231.0,38.0,19.0,27%
1502923320251.0,72.0,"53,70%",2131.0,38.0,36.0,35%
1502923327148.0,73.0,"29,00%",1978.0,38.0,42.0,29%
1502923332262.0,75.0,"18,40%",2256.0,38.0,43.0,27%
1502923339164.0,76.0,"18,80%",1395.0,38.0,42.0,23%
1502923344273.0,76.0,"20,40%",1298.0,38.0,38.0,23%
1502923351217.0,77.0,"18,00%",1148.0,38.0,34.0,22%
1502923356297.0,77.0,"60,80%",1217.0,37.0,39.0,31%
1502923363231.0,78.0,"25,50%",1275.0,37.0,42.0,25%
1502923368316.0,79.0,"32,50%",1443.0,36.0,46.0,29%
1502923375242.0,79.0,"39,20%",1506.0,36.0,44.0,30%
1502923380327.0,80.0,"23,10%",1362.0,36.0,35.0,25%
1502923387250.0,80.0,"18,80%",1098.0,36.0,8.0,22%
1502923392332.0,81.0,"42,00%",1603.0,36.0,,33%
1502923399258.0,82.0,"71,00%",1898.0,34.0,44.0,53%
1502923404358.0,84.0,"53,30%",2358.0,34.0,49.0,35%
1502923411288.0,85.0,"49,00%",2571.0,34.0,49.0,35%
1502923416368.0,86.0,"15,30%",1382.0,34.0,37.0,22%
1502923423293.0,87.0,"16,90%",1180.0,35.0,35.0,21%
1502923428373.0,85.0,"16,50%",1260.0,35.0,44.0,21%
1502923435308.0,79.0,"15,70%",1454.0,35.0,42.0,22%
1502923440383.0,75.0,"17,30%",1285.0,34.0,32.0,22%
1502923447327.0,76.0,"16,10%",1360.0,34.0,0.0,22%
1502923452414.0,78.0,"21,20%",1008.0,34.0,0.0,22%
1502923459338.0,78.0,"20,40%",1007.0,34.0,0.0,21%
1502923464429.0,79.0,"20,80%",1014.0,34.0,16.0,22%
1502923471363.0,79.0,"58,80%",1509.0,33.0,36.0,34%
1502923476436.0,81.0,"54,50%",1992.0,33.0,49.0,34%
1502923483388.0,82.0,"16,10%",2028.0,33.0,52.0,24%
1502923488473.0,82.0,"28,60%",1807.0,33.0,54.0,30%
1502923495400.0,81.0,"27,10%",1729.0,33.0,53.0,28%
1502923500500.0,80.0,"25,50%",1677.0,33.0,51.0,28%
1502923507422.0,80.0,"25,90%",1663.0,33.0,51.0,28%
1502923512535.0,80.0,"27,50%",1663.0,33.0,47.0,28%
1502923519428.0,80.0,"16,10%",1492.0,33.0,43.0,22%
1502923524570.0,80.0,"16,10%",1339.0,33.0,39.0,22%
1502923531448.0,80.0,"16,50%",1276.0,33.0,36.0,22%
1502923536575.0,79.0,"16,50%",2532.0,33.0,28.0,27%
1502923543467.0,79.0,"16,10%",2111.0,33.0,24.0,25%
1502923548598.0,79.0,"19,20%",1069.0,33.0,0.0,21%
1502923555499.0,80.0,"20,00%",1017.0,33.0,0.0,22%
1502923560626.0,80.0,"21,20%",995.0,33.0,0.0,22%
